Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
shoulder_link,0.151457308727922,0.000403999989546937,-0.00383115241924482,0,0,0,0.243427734576419,0.000225446645886005,6.23090628975225E-08,5.37973314021635E-06,0.000136237604304921,9.74405583681102E-06,0.000132493098344907,0,0,0,0,0,0,package://ArmsnHands.SLDASM/meshes/shoulder_link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://ArmsnHands.SLDASM/meshes/shoulder_link.STL,,MHR-SUP-2203-SHOLHS-01-simple-1/MHR-SUP-2203-SHOLHS-01-01-2;MHR-SUP-2203-SHOLHS-01-simple-1/MHR-SUP-2204-SHOXXX-01-09-1;MHR-SUP-2203-SHOLHS-01-simple-1/MHR-SUP-2102-SHOXXX-01-08-1;MHR-SUP-2203-SHOLHS-01-simple-1/MHR-SUP-2102-SHOXXX-01-07-1;MHR-SUP-2203-SHOLHS-01-simple-1/MHR-SUP-2102-SHOXXX-01-06-1;MHR-SUP-2203-SHOLHS-01-simple-1/MHR-SUP-2102-SHOXXX-01-03-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
upper_arm_link,0.0017415455549592,0.125022178875143,-0.000874751284204336,0,0,0,0.238225282155877,0.000486624161557905,1.68148762429348E-05,1.25678103705738E-07,0.000130133939057714,-1.29677657841813E-05,0.000464820958515725,0,0,0,0,0,0,package://ArmsnHands.SLDASM/meshes/upper_arm_link.STL,1,1,1,1,0,0,0,0,0,0,package://ArmsnHands.SLDASM/meshes/upper_arm_link.STL,,MHR-SUP-2203-ARMLHS-01-1/MHR-SUP-2203-ARMLHS-01-03-1;MHR-SUP-2203-ARMLHS-01-1/MHR-SUP-2203-ARMLHS-01-01-1;MHR-SUP-2203-ARMLHS-01-1/MHR-SUP-2203-ARMLHS-01-02-1;MHR-SUP-2203-ARMLHS-01-1/MHR-SUP-2203-ARMLHS-01-06-1;MHR-SUP-2203-ARMLHS-01-1/MHR-SUP-2203-ARMLHS-01-04-1;MHR-SUP-2203-ARMLHS-01-1/MHR-SUP-2203-ARMLHS-01-07-1;MHR-SUP-2203-ARMLHS-01-1/MHR-SUP-2203-ARMLHS-01-05-1,Origin_elbow_joint,Axis_elbow_joint,elbow_joint,fixed,0.20500155343,-0.00151891118282245,5.75223328378366E-05,-1.60864900555086,0,0,shoulder_link,0,0,0,0,0,0,0,,,,,,,,
forearm_link,-0.186161585408388,-0.00387076982900833,0.000657865954753756,0,0,0,0.0906405879929624,4.37886771211888E-05,-7.56029988557634E-06,4.08574553516471E-07,9.86840247941789E-05,-4.07840125076158E-07,0.000124330526323733,0,0,0,0,0,0,package://ArmsnHands.SLDASM/meshes/forearm_link.STL,1,1,1,1,0,0,0,0,0,0,package://ArmsnHands.SLDASM/meshes/forearm_link.STL,,MHR-SUP-2203-ARMLHS-01-1/MHR-SUP-2203-ARMLHS-01-08-1;MHR-SUP-2203-ARMLHS-01-1/MHR-SUP-2203-ARMLHS-01-09-1,Origin_forearm_updown_joint,,forearm_updown_joint,fixed,0.00051304,0.4837,-0.00034787,-1.5708,0,1.5708,upper_arm_link,0,0,0,0,0,0,0,,,,,,,,
forearm_roll_link,-0.0737767630409266,0.00187971694429238,-0.00221282379229593,0,0,0,0.0943405173279478,4.42015546953826E-05,5.76816635925245E-06,-5.84325592233798E-06,0.000167297555403946,-5.50841589971345E-07,0.000139488253732576,0,0,0,0,0,0,package://ArmsnHands.SLDASM/meshes/forearm_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://ArmsnHands.SLDASM/meshes/forearm_roll_link.STL,,MHR-SUP-2204-HNDLHS-01-1/Assem_Lower_Forearm_SUP-V4.0.0-1/Forearm_Lower_B_R_SUP-V4.0.0-1;MHR-SUP-2204-HNDLHS-01-1/Assem_Lower_Forearm_SUP-V4.0.0-1/Forearm_Lower_C_R_SUP-V4.0.0-1;MHR-SUP-2204-HNDLHS-01-1/Assem_Lower_Forearm_SUP-V4.0.0-1/Forearm_Lower_A_R_SUP-V4.0.0-2,Origin_foreamr_roll_joint,,foreamr_roll_joint,fixed,0,0,0,0,0,0,forearm_link,0,0,0,0,0,0,0,,,,,,,,
