Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
shoulder_link,-0.151457309905491,0.000403840935773192,-0.00383939712673924,0,0,0,0.243427715540983,0.000225446629973009,-6.30428895307121E-08,-5.4183510591183E-06,0.000136202329917266,8.81269486130966E-06,0.000132528356667364,0,0,0,0,0,0,package://ArmsnHandsR.SLDASM/meshes/shoulder_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://ArmsnHandsR.SLDASM/meshes/shoulder_link.STL,,MHR-SUP-2203-SHORHS-01-simple-1/MHR-SUP-2203-SHORHS-01-01-1;MHR-SUP-2203-SHORHS-01-simple-1/MHR-SUP-2102-SHOXXX-01-03-3;MHR-SUP-2203-SHORHS-01-simple-1/MHR-SUP-2102-SHOXXX-01-07-1;MHR-SUP-2203-SHORHS-01-simple-1/MHR-SUP-2102-SHOXXX-01-08-1;MHR-SUP-2203-SHORHS-01-simple-1/MHR-SUP-2204-SHOXXX-01-09-1;MHR-SUP-2203-SHORHS-01-simple-1/MHR-SUP-2102-SHOXXX-01-06-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
upper_arm_link,-0.411648578068681,0.1250183369068,0.00385273194207978,0,0,0,0.246153488378973,0.000489331993629412,-1.67968277103578E-05,-7.62186662099606E-07,0.000136947016771834,-2.54861606800049E-05,0.000466071468129534,0,0,0,0,0,0,package://ArmsnHandsR.SLDASM/meshes/upper_arm_link.STL,1,1,1,1,0,0,0,0,0,0,package://ArmsnHandsR.SLDASM/meshes/upper_arm_link.STL,,MHR-SUP-2203-ARMRHS-01-1/MHR-SUP-2203-ARMRHS-01-02-1;MHR-SUP-2203-ARMRHS-01-1/MHR-SUP-2203-ARMRHS-01-01-1;MHR-SUP-2203-ARMRHS-01-1/MHR-SUP-2203-ARMRHS-01-03-1;MHR-SUP-2203-ARMRHS-01-1/MHR-SUP-2203-ARMRHS-01-06-1;MHR-SUP-2203-ARMRHS-01-1/6810ZZ-NTNBearing-1;MHR-SUP-2203-ARMRHS-01-1/MHR-SUP-2203-ARMRHS-01-04-1;MHR-SUP-2203-ARMRHS-01-1/MHR-SUP-2203-ARMRHS-01-05-1;MHR-SUP-2203-ARMRHS-01-1/MHR-SUP-2203-ARMRHS-01-07-1,Origin_elbow_joint,,elbow_joint,revolute,0.205,-0.0015189,5.7522E-05,-1.6086,0,0,shoulder_link,0,0,0,0,0,0,0,,,,,,,,
forearm_link,-0.185541907347801,-0.0150824724077675,0.410481974916605,0,0,0,0.0919060400214775,4.3922262377694E-05,-5.56812690644716E-06,-2.61896873681283E-07,0.000100313939083286,4.26103279248783E-07,0.000125586128270564,0,0,0,0,0,0,package://ArmsnHandsR.SLDASM/meshes/forearm_link.STL,1,1,1,1,0,0,0,0,0,0,package://ArmsnHandsR.SLDASM/meshes/forearm_link.STL,,MHR-SUP-2203-ARMRHS-01-1/MHR-SUP-2203-ARMRHS-01-09-2;MHR-SUP-2203-ARMRHS-01-1/MHR-SUP-2203-ARMRHS-01-08-2,Origin_forearm_updown_joint,,forearm_updown_joint,revolute,0.00051304,0.4837,-0.00034787,-1.5708,0,1.5708,upper_arm_link,0,0,0,0,0,0,0,,,,,,,,
forearm_roll_link,-0.0725236479903559,-0.0135368957534619,0.40820341160639,0,0,0,0.0943389281240488,4.48140555820522E-05,1.04055400695505E-05,-5.85994076208939E-06,0.000166681544263414,-3.29374118055969E-07,0.000139484500391422,0,0,0,0,0,0,package://ArmsnHandsR.SLDASM/meshes/forearm_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://ArmsnHandsR.SLDASM/meshes/forearm_roll_link.STL,,MHR-SUP-2204-HNDRHS-01-1/Assem_Lower_Forearm_SUP-V4.0.0-1/Forearm_Lower_B_R_SUP-V4.0.0-1;MHR-SUP-2204-HNDRHS-01-1/Assem_Lower_Forearm_SUP-V4.0.0-1/Forearm_Lower_A_R_SUP-V4.0.0-2;MHR-SUP-2204-HNDRHS-01-1/Assem_Lower_Forearm_SUP-V4.0.0-1/Forearm_Lower_C_R_SUP-V4.0.0-1,Origin_foreamr_roll_joint,,foreamr_roll_joint,revolute,0,0,0,0,0,0,forearm_link,0,0,0,0,0,0,0,,,,,,,,
