Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
shoulder_link,0.15146,-0.0038312,-0.000404,0,0,0,0.24343,0.00022545,5.3797E-06,-6.2309E-08,0.00013249,-9.7441E-06,0.00013624,0,0,0,0,0,0,package://Arms&Hands_replicated.SLDASM/meshes/shoulder_link.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://Arms&Hands_replicated.SLDASM/meshes/shoulder_link.STL,,MHR-SUP-2203-SHOLHS-01-simple-1/MHR-SUP-2203-SHOLHS-01-01-2;MHR-SUP-2203-SHOLHS-01-simple-1/MHR-SUP-2204-SHOXXX-01-09-1;MHR-SUP-2203-SHOLHS-01-simple-1/MHR-SUP-2102-SHOXXX-01-08-1;MHR-SUP-2203-SHOLHS-01-simple-1/MHR-SUP-2102-SHOXXX-01-07-1;MHR-SUP-2203-SHOLHS-01-simple-1/MHR-SUP-2102-SHOXXX-01-06-1;MHR-SUP-2203-SHOLHS-01-simple-1/MHR-SUP-2102-SHOXXX-01-03-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
upper_arm_link,0.0017415,0.12502,-0.00087475,0,0,0,0.23823,0.00048662,1.6815E-05,1.2568E-07,0.00013013,-1.2968E-05,0.00046482,0,0,0,0,0,0,package://Arms&Hands_replicated.SLDASM/meshes/upper_arm_link.STL,1,1,1,1,0,0,0,0,0,0,package://Arms&Hands_replicated.SLDASM/meshes/upper_arm_link.STL,,MHR-SUP-2203-ARMLHS-01-1/MHR-SUP-2203-ARMLHS-01-03-1;MHR-SUP-2203-ARMLHS-01-1/MHR-SUP-2203-ARMLHS-01-01-1;MHR-SUP-2203-ARMLHS-01-1/MHR-SUP-2203-ARMLHS-01-02-1;MHR-SUP-2203-ARMLHS-01-1/MHR-SUP-2203-ARMLHS-01-06-1;MHR-SUP-2203-ARMLHS-01-1/MHR-SUP-2203-ARMLHS-01-04-1;MHR-SUP-2203-ARMLHS-01-1/MHR-SUP-2203-ARMLHS-01-07-1;MHR-SUP-2203-ARMLHS-01-1/MHR-SUP-2203-ARMLHS-01-05-1,Origin_elbow_joint,,elbow_joint,revolute,0.205,-0.0015189,5.7522E-05,-1.6086,0,0,shoulder_link,0,0,0,0,0,0,0,,,,,,,,
forearm_link,-0.12885,-0.00093802,-0.00080619,0,0,0,0.18498,8.799E-05,-1.7921E-06,-5.4347E-06,0.00026598,-9.5868E-07,0.00026382,0,0,0,0,0,0,package://Arms&Hands_replicated.SLDASM/meshes/forearm_link.STL,1,1,1,1,0,0,0,0,0,0,package://Arms&Hands_replicated.SLDASM/meshes/forearm_link.STL,,MHR-SUP-2204-HNDLHS-01-1/Assem_Lower_Forearm_SUP-V4.0.0-1/Forearm_Lower_B_R_SUP-V4.0.0-1;MHR-SUP-2203-ARMLHS-01-1/MHR-SUP-2203-ARMLHS-01-08-1;MHR-SUP-2203-ARMLHS-01-1/MHR-SUP-2203-ARMLHS-01-09-1;MHR-SUP-2204-HNDLHS-01-1/Assem_Lower_Forearm_SUP-V4.0.0-1/Forearm_Lower_C_R_SUP-V4.0.0-1;MHR-SUP-2204-HNDLHS-01-1/Assem_Lower_Forearm_SUP-V4.0.0-1/Forearm_Lower_A_R_SUP-V4.0.0-2,Origin_forearm_updown_joint,,forearm_updown_joint,revolute,0.00051304,0.4837,-0.00034787,-1.5708,0,1.5708,upper_arm_link,0,0,0,0,0,0,0,,,,,,,,
forearm_roll_link,-0.12885,-0.00093802,-0.00080619,0,0,0,0.18498,8.799E-05,-1.7921E-06,-5.4347E-06,0.00026598,-9.5868E-07,0.00026382,0,0,0,0,0,0,package://Arms&Hands_replicated.SLDASM/meshes/forearm_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://Arms&Hands_replicated.SLDASM/meshes/forearm_roll_link.STL,,MHR-SUP-2204-HNDLHS-01-1/Assem_Lower_Forearm_SUP-V4.0.0-1/Forearm_Lower_B_R_SUP-V4.0.0-1;MHR-SUP-2204-HNDLHS-01-1/Assem_Lower_Forearm_SUP-V4.0.0-1/Forearm_Lower_C_R_SUP-V4.0.0-1;MHR-SUP-2204-HNDLHS-01-1/Assem_Lower_Forearm_SUP-V4.0.0-1/Forearm_Lower_A_R_SUP-V4.0.0-2;MHR-SUP-2203-ARMLHS-01-1/MHR-SUP-2203-ARMLHS-01-09-1;MHR-SUP-2203-ARMLHS-01-1/MHR-SUP-2203-ARMLHS-01-08-1,Origin_foreamr_roll_joint,,foreamr_roll_joint,revolute,0,0,0,0,0,0,forearm_link,0,0,0,0,0,0,0,,,,,,,,
